unbroke	kingrichardii@2925
willed	1kinghenryvi@608
willers	merrywivesofwindsor@158
willeth	1kinghenryvi@2098, venusandadonis@670
willful	titusandronicus@2798
willfully	midsummersnightsdream@1961
willing	2kinghenryvi@4338, kinghenryviii@2315, kinghenryviii@116, kinghenryviii@3669, kinghenryv@2264, kinghenryv@2049, sonnets@1898, sonnets@108, juliuscaesar@3338, juliuscaesar@831, tamingoftheshrew@3306, measureforemeasure@4331, 3kinghenryvi@1520, macbeth@2912, merrywivesofwindsor@737, twelfthnight@2362, twelfthnight@1018, twelfthnight@3398, twelfthnight@1290, coriolanus@1111, kingrichardii@2895, kingrichardii@2797, kingrichardii@2468, glossary@1621, cymbeline@3879, rapeoflucrece@1485, hamlet@5655, hamlet@1400, asyoulikeit@3828, asyoulikeit@566, twogentlemenofverona@1644, loveslabourslost@1151, loveslabourslost@864, loveslabourslost@844, kingrichardiii@5539, muchadoaboutnothing@2128, tempest@1976, timonofathens@2299
willingly	timonofathens@2302, measureforemeasure@4249, measureforemeasure@3221, measureforemeasure@2561, kinghenryviii@2434, titusandronicus@2153, titusandronicus@3133, 2kinghenryvi@1639, 2kinghenryvi@1641, 2kinghenryvi@4129, 2kinghenryvi@934, winterstale@2320, tamingoftheshrew@2256, antonyandcleopatra@2613, sonnets@1233, kingjohn@1166, kingjohn@2354, 1kinghenryiv@4117, 1kinghenryiv@3916, 1kinghenryiv@642, 3kinghenryvi@436, 3kinghenryvi@622, coriolanus@4704, coriolanus@1973, twelfthnight@3607, asyoulikeit@1321, romeoandjuliet@343, hamlet@1939, hamlet@436, muchadoaboutnothing@200, periclesprinceoftyre@2621, twogentlemenofverona@2316, twogentlemenofverona@390, loveslabourslost@862
willingness	2kinghenryvi@2109, 3kinghenryvi@4124, kingrichardiii@2642
willow	merchantofvenice@3456, 3kinghenryvi@2802, 3kinghenryvi@3011, twelfthnight@924, othello@4391, othello@4412, othello@4391, othello@4399, othello@4393, othello@4393, othello@5238, othello@5238, othello@4393, othello@4389, othello@4412, othello@4399, othello@4391, othello@4404, othello@4399, othello@4369, othello@4412, muchadoaboutnothing@967, muchadoaboutnothing@929, hamlet@4886
wills	hamlet@3065, coriolanus@1824, coriolanus@2328, kinghenryviii@2340, 1kinghenryvi@2388, timonofathens@793, timonofathens@3857, loverscomplaint@155, loverscomplaint@155, kinghenryv@1382, troilusandcressida@1693, winterstale@3858, winterstale@2030, juliuscaesar@2407, titusandronicus@2456, loveslabourslost@885, sonnets@2318, sonnets@2067, kinglear@4193, kingrichardii@2104, tempest@191, cymbeline@972, cymbeline@4192, cymbeline@1856, cymbeline@4710, othello@955, othello@961, othello@984, twogentlemenofverona@3379, 2kinghenryiv@3022, romeoandjuliet@3117
wilt	romeoandjuliet@2602, romeoandjuliet@1448, romeoandjuliet@1469, romeoandjuliet@3376, romeoandjuliet@3228, romeoandjuliet@152, romeoandjuliet@3553, romeoandjuliet@726, romeoandjuliet@2944, romeoandjuliet@2294, romeoandjuliet@2007, romeoandjuliet@3111, romeoandjuliet@1520, romeoandjuliet@2296, romeoandjuliet@1368, romeoandjuliet@3194, romeoandjuliet@710, romeoandjuliet@2307, romeoandjuliet@1282, romeoandjuliet@3178, romeoandjuliet@2878, romeoandjuliet@2843, romeoandjuliet@402, romeoandjuliet@1441, romeoandjuliet@1485, kinglear@4508, kinglear@275, kinglear@4380, kinglear@3642, kinglear@332, kinglear@2364, winterstale@4379, winterstale@4380, winterstale@1466, winterstale@1511, winterstale@4362, winterstale@1552, winterstale@563, kingrichardiii@1617, kingrichardiii@4410, kingrichardiii@4674, kingrichardiii@3722, kingrichardiii@4535, kingrichardiii@4848, kingrichardiii@1539, kingrichardiii@1356, midsummersnightsdream@2151, midsummersnightsdream@2002, midsummersnightsdream@1522, midsummersnightsdream@2777, midsummersnightsdream@1033, midsummersnightsdream@1352, coriolanus@4224, coriolanus@3741, coriolanus@4281, coriolanus@3325, measureforemeasure@2270, hamlet@3556, hamlet@3556, hamlet@3068, hamlet@1113, hamlet@2668, hamlet@5455, hamlet@5466, hamlet@5360, troilusandcressida@5164, troilusandcressida@5193, troilusandcressida@5191, troilusandcressida@4128, troilusandcressida@5014, 1kinghenryvi@674, 1kinghenryvi@3988, 1kinghenryvi@3321, 1kinghenryvi@3993, 1kinghenryvi@3304, 1kinghenryvi@656, 1kinghenryvi@3463, 1kinghenryvi@3714, 1kinghenryvi@4142, 1kinghenryvi@3826, 1kinghenryvi@460, tamingoftheshrew@345, tamingoftheshrew@352, tamingoftheshrew@349, tamingoftheshrew@3196, tamingoftheshrew@713, tamingoftheshrew@348, tamingoftheshrew@2989, tamingoftheshrew@356, tamingoftheshrew@2462, comedyoferrors@2187, comedyoferrors@2701, comedyoferrors@383, comedyoferrors@2197, kinghenryv@3263, kinghenryv@4534, kinghenryv@881, kinghenryv@880, kinghenryv@3267, timonofathens@3196, timonofathens@3464, timonofathens@3040, timonofathens@1022, timonofathens@2714, timonofathens@3910, timonofathens@3005, timonofathens@3916, timonofathens@3921, timonofathens@1011, loverscomplaint@310, sonnets@150, sonnets@1323, sonnets@1532, sonnets@2287, sonnets@1728, sonnets@830, sonnets@1724, sonnets@2282, sonnets@2274, sonnets@173, sonnets@2283, sonnets@1540, sonnets@329, loveslabourslost@2121, loveslabourslost@1494, loveslabourslost@1302, juliuscaesar@4077, juliuscaesar@3909, juliuscaesar@1877, juliuscaesar@1049, juliuscaesar@2583, 2kinghenryvi@527, 2kinghenryvi@3069, 2kinghenryvi@2798, 2kinghenryvi@1011, 2kinghenryvi@545, 2kinghenryvi@4516, 2kinghenryvi@4188, 2kinghenryvi@2969, 2kinghenryvi@4198, merrywivesofwindsor@591, merrywivesofwindsor@3517, titusandronicus@1862, titusandronicus@1783, titusandronicus@3030, titusandronicus@214, titusandronicus@2277, titusandronicus@1881, titusandronicus@2574, macbeth@2707, macbeth@2743, macbeth@1528, antonyandcleopatra@2294, antonyandcleopatra@2476, antonyandcleopatra@2261, 1kinghenryiv@1507, 1kinghenryiv@1612, 1kinghenryiv@397, 1kinghenryiv@1391, 1kinghenryiv@348, 1kinghenryiv@243, 1kinghenryiv@1515, 1kinghenryiv@1364, 1kinghenryiv@1380, 1kinghenryiv@4102, kingjohn@2829, kingjohn@271, kingjohn@374, kingjohn@3471, allswellthatendswell@2944, allswellthatendswell@542, allswellthatendswell@4367, allswellthatendswell@1519, allswellthatendswell@342, 2kinghenryiv@2095, 2kinghenryiv@4454, 2kinghenryiv@4570, 2kinghenryiv@1932, 2kinghenryiv@3844, 2kinghenryiv@1037, 2kinghenryiv@1039, 2kinghenryiv@3854, 2kinghenryiv@3884, 2kinghenryiv@3885, 2kinghenryiv@4579, 2kinghenryiv@2605, 2kinghenryiv@2200, 2kinghenryiv@1994, 2kinghenryiv@205, 2kinghenryiv@2569, kingrichardii@3180, kingrichardii@997, kingrichardii@3390, kingrichardii@3394, kingrichardii@3143, merchantofvenice@2768, merchantofvenice@665, merchantofvenice@1876, merchantofvenice@1787, merchantofvenice@1121, venusandadonis@712, venusandadonis@298, venusandadonis@46, venusandadonis@84, venusandadonis@628, venusandadonis@272, venusandadonis@814, muchadoaboutnothing@1360, muchadoaboutnothing@3096, muchadoaboutnothing@398, muchadoaboutnothing@464, muchadoaboutnothing@326, muchadoaboutnothing@690, muchadoaboutnothing@4038, muchadoaboutnothing@417, asyoulikeit@844, asyoulikeit@2781, asyoulikeit@858, asyoulikeit@2955, asyoulikeit@174, asyoulikeit@3024, rapeoflucrece@1099, rapeoflucrece@1097, rapeoflucrece@957, rapeoflucrece@1565, rapeoflucrece@777, twogentlemenofverona@2529, twogentlemenofverona@1518, twogentlemenofverona@2930, twogentlemenofverona@1352, othello@2188, othello@990, tempest@2049, tempest@1686, tempest@737, cymbeline@4877, cymbeline@4885, cymbeline@3200, cymbeline@3023, cymbeline@2976, twelfthnight@3277, twelfthnight@3661, twelfthnight@1383, twelfthnight@1895, twelfthnight@1369, periclesprinceoftyre@952, periclesprinceoftyre@3107, periclesprinceoftyre@1052, periclesprinceoftyre@1816, periclesprinceoftyre@1816, periclesprinceoftyre@2364, 3kinghenryvi@3969, 3kinghenryvi@3859, 3kinghenryvi@1428, 3kinghenryvi@491, 3kinghenryvi@1399, 3kinghenryvi@4381, 3kinghenryvi@4391, 3kinghenryvi@3376, 3kinghenryvi@748, 3kinghenryvi@1987, 3kinghenryvi@523, 3kinghenryvi@3991, 3kinghenryvi@3956, 3kinghenryvi@2249, 3kinghenryvi@2315, 3kinghenryvi@3864
win	3kinghenryvi@180, 3kinghenryvi@647, 3kinghenryvi@1190, 3kinghenryvi@2064, kingjohn@3353, kingjohn@2523, kingjohn@1635, kingjohn@3167, kingjohn@3156, kingjohn@653, kingjohn@3362, kingjohn@425, kinghenryv@4410, kinghenryv@456, kinghenryv@497, kinghenryv@1600, kinghenryv@1088, glossary@1640, glossary@1278, kinghenryviii@3154, kinghenryviii@4487, kinghenryviii@3821, kinghenryviii@4322, kingrichardiii@2396, kingrichardiii@722, kingrichardiii@5357, kingrichardiii@4554, kingrichardiii@5519, kingrichardiii@2473, kingrichardiii@3415, kingrichardiii@4752, kinglear@1909, winterstale@196, hamlet@5840, hamlet@5656, hamlet@5707, coriolanus@1778, coriolanus@308, coriolanus@5301, coriolanus@1085, measureforemeasure@692, measureforemeasure@1368, tamingoftheshrew@2806, tamingoftheshrew@1144, tamingoftheshrew@246, tamingoftheshrew@4047, tamingoftheshrew@1790, tamingoftheshrew@3940, troilusandcressida@5092, troilusandcressida@4922, troilusandcressida@2570, troilusandcressida@2972, 1kinghenryvi@294, 1kinghenryvi@2148, 1kinghenryvi@3777, 1kinghenryiv@2360, 1kinghenryiv@4196, 1kinghenryiv@3694, 1kinghenryiv@3556, merrywivesofwindsor@1626, merrywivesofwindsor@1631, sonnets@1096, sonnets@1505, sonnets@2453, sonnets@2029, loverscomplaint@361, 2kinghenryvi@408, 2kinghenryvi@2296, 2kinghenryvi@3708, 2kinghenryvi@405, 2kinghenryvi@293, loveslabourslost@4219, loveslabourslost@2594, loveslabourslost@2174, loveslabourslost@1494, loveslabourslost@899, loveslabourslost@1254, juliuscaesar@874, antonyandcleopatra@3531, antonyandcleopatra@1587, antonyandcleopatra@1631, antonyandcleopatra@2798, antonyandcleopatra@2798, macbeth@438, macbeth@625, macbeth@2969, periclesprinceoftyre@1477, periclesprinceoftyre@3302, periclesprinceoftyre@1474, muchadoaboutnothing@687, 2kinghenryiv@3930, allswellthatendswell@4146, allswellthatendswell@2205, allswellthatendswell@3089, various@55, various@28, various@66, kingrichardii@1782, kingrichardii@3135, kingrichardii@3498, kingrichardii@2150, merchantofvenice@2052, merchantofvenice@2250, merchantofvenice@787, twogentlemenofverona@1867, twogentlemenofverona@248, twogentlemenofverona@1823, rapeoflucrece@312, cymbeline@2631, cymbeline@277, cymbeline@5024, cymbeline@1495, cymbeline@202, cymbeline@1363, cymbeline@1765, othello@2065, othello@2069, othello@755, othello@3599, othello@4169, tempest@909
wince	kingjohn@2206, hamlet@3111
wind	hamlet@2166, hamlet@2290, hamlet@5549, hamlet@4752, hamlet@905, hamlet@3272, hamlet@3855, hamlet@4065, hamlet@4685, hamlet@838, hamlet@5255, kingjohn@2329, kingjohn@3137, kingjohn@3122, kingjohn@2034, tempest@1605, tempest@86, tempest@583, tamingoftheshrew@936, tamingoftheshrew@363, tamingoftheshrew@1468, 3kinghenryvi@1731, 3kinghenryvi@1128, 3kinghenryvi@1678, 3kinghenryvi@4168, 3kinghenryvi@2554, 3kinghenryvi@2186, 3kinghenryvi@4037, 3kinghenryvi@1680, 3kinghenryvi@963, 3kinghenryvi@794, 3kinghenryvi@3250, 3kinghenryvi@3904, 3kinghenryvi@1681, 3kinghenryvi@2129, romeoandjuliet@3278, romeoandjuliet@946, romeoandjuliet@951, romeoandjuliet@2093, midsummersnightsdream@1632, midsummersnightsdream@1567, midsummersnightsdream@2170, midsummersnightsdream@669, midsummersnightsdream@715, glossary@830, glossary@1267, glossary@2344, kinghenryv@1820, kinghenryv@1490, kinghenryv@952, kinghenryv@2131, antonyandcleopatra@2987, antonyandcleopatra@1449, antonyandcleopatra@2169, antonyandcleopatra@3337, kinglear@2734, kinglear@2657, kinglear@4609, kinglear@2568, kinglear@3773, kinglear@4287, kinglear@2962, kinglear@2696, kinglear@674, kinglear@2898, kinglear@1043, comedyoferrors@180, comedyoferrors@1646, comedyoferrors@132, comedyoferrors@327, comedyoferrors@1570, comedyoferrors@1102, comedyoferrors@1114, comedyoferrors@1422, kingrichardiii@1125, kingrichardiii@3735, winterstale@4044, winterstale@1533, winterstale@360, winterstale@3342, coriolanus@3560, coriolanus@855, coriolanus@3358, coriolanus@5126, coriolanus@1362, juliuscaesar@1691, juliuscaesar@3563, juliuscaesar@2749, juliuscaesar@2993, loverscomplaint@10, loverscomplaint@101, timonofathens@3865, troilusandcressida@4828, troilusandcressida@3571, troilusandcressida@4947, troilusandcressida@798, troilusandcressida@4947, troilusandcressida@2664, troilusandcressida@1069, troilusandcressida@2458, troilusandcressida@822, sonnets@875, sonnets@244, 1kinghenryiv@3254, 1kinghenryiv@2351, 1kinghenryiv@2929, 1kinghenryiv@3265, 1kinghenryiv@2348, 1kinghenryiv@3688, 1kinghenryiv@572, 1kinghenryiv@2474, 1kinghenryiv@1081, 1kinghenryiv@2259, merrywivesofwindsor@2138, merrywivesofwindsor@3802, loveslabourslost@2238, loveslabourslost@4321, loveslabourslost@1877, loveslabourslost@3295, titusandronicus@2523, titusandronicus@2678, titusandronicus@1071, titusandronicus@2260, titusandronicus@1528, titusandronicus@2253, 2kinghenryvi@2538, 2kinghenryvi@2299, 2kinghenryvi@1121, 2kinghenryvi@2536, othello@2154, othello@4408, othello@1085, othello@4030, othello@1668, othello@2686, othello@2162, othello@1075, various@315, various@180, various@520, muchadoaboutnothing@1425, muchadoaboutnothing@3703, muchadoaboutnothing@3703, macbeth@3624, macbeth@267, macbeth@369, macbeth@814, periclesprinceoftyre@268, periclesprinceoftyre@828, periclesprinceoftyre@1863, periclesprinceoftyre@2362, periclesprinceoftyre@939, periclesprinceoftyre@2472, periclesprinceoftyre@2345, periclesprinceoftyre@1823, periclesprinceoftyre@2349, allswellthatendswell@2716, allswellthatendswell@203, allswellthatendswell@3892, venusandadonis@383, venusandadonis@563, venusandadonis@1155, venusandadonis@422, venusandadonis@1292, venusandadonis@381, venusandadonis@1294, venusandadonis@248, venusandadonis@1300, venusandadonis@1250, venusandadonis@824, 2kinghenryiv@3050, 2kinghenryiv@4512, 2kinghenryiv@4514, 2kinghenryiv@3848, 2kinghenryiv@719, 2kinghenryiv@136, cymbeline@3886, cymbeline@3617, cymbeline@2396, kingrichardii@1293, kingrichardii@873, kingrichardii@1514, asyoulikeit@949, asyoulikeit@1901, asyoulikeit@2676, asyoulikeit@1703, asyoulikeit@1541, twelfthnight@3992, twelfthnight@1733, twelfthnight@882, rapeoflucrece@443, rapeoflucrece@812, rapeoflucrece@431, rapeoflucrece@1592, rapeoflucrece@427, merchantofvenice@1444, merchantofvenice@2104, merchantofvenice@102, merchantofvenice@268, merchantofvenice@96, merchantofvenice@1369, merchantofvenice@1366, merchantofvenice@104, merchantofvenice@3444, twogentlemenofverona@488, twogentlemenofverona@1074
winded	titusandronicus@1001, tamingoftheshrew@113, midsummersnightsdream@2259, 1kinghenryiv@91, 1kinghenryiv@3035, muchadoaboutnothing@381, 2kinghenryiv@1417
winding	tempest@1037, 3kinghenryvi@318, 3kinghenryvi@1805, twogentlemenofverona@1643, glossary@505, glossary@506, glossary@2371, glossary@517, rapeoflucrece@1679, rapeoflucrece@1387
windlasses	hamlet@1510
windmill	2kinghenryiv@2617, 1kinghenryiv@2426
window	hamlet@4321, rapeoflucrece@1316, midsummersnightsdream@1205, midsummersnightsdream@114, kingjohn@303, kinghenryviii@4074, romeoandjuliet@1328, romeoandjuliet@3144, romeoandjuliet@1330, romeoandjuliet@3089, romeoandjuliet@303, twogentlemenofverona@1783, twogentlemenofverona@1388, twogentlemenofverona@2579, twogentlemenofverona@2393, twogentlemenofverona@1579, twogentlemenofverona@1879, kinglear@2874, antonyandcleopatra@5394, antonyandcleopatra@4871, tamingoftheshrew@3587, tamingoftheshrew@3607, tamingoftheshrew@3640, troilusandcressida@475, timonofathens@2784, juliuscaesar@970, juliuscaesar@879, loveslabourslost@4208, 2kinghenryiv@1356, merchantofvenice@1303, othello@163, allswellthatendswell@3063, allswellthatendswell@2891, allswellthatendswell@1598, muchadoaboutnothing@1978, muchadoaboutnothing@1249, muchadoaboutnothing@2221, muchadoaboutnothing@1290, muchadoaboutnothing@1406, muchadoaboutnothing@2209, muchadoaboutnothing@2670, muchadoaboutnothing@2964, muchadoaboutnothing@1222, muchadoaboutnothing@2661, cymbeline@4546, cymbeline@1438
windows	cymbeline@1435, juliuscaesar@170, juliuscaesar@2578, juliuscaesar@659, kingrichardiii@5286, kingrichardiii@377, romeoandjuliet@3582, romeoandjuliet@323, kingjohn@3580, coriolanus@1773, 1kinghenryvi@1980, antonyandcleopatra@5901, sonnets@416, sonnets@419, sonnets@62, periclesprinceoftyre@3042, venusandadonis@591, twelfthnight@3213, kingrichardii@1882, kingrichardii@3266, kingrichardii@3257
windpipe	timonofathens@700
windring	tempest@2636
winds	tempest@2938, tempest@420, tempest@2410, tempest@996, tempest@2366, midsummersnightsdream@671, 1kinghenryiv@3748, rapeoflucrece@454, rapeoflucrece@2119, titusandronicus@3597, titusandronicus@1879, hamlet@2302, hamlet@543, hamlet@771, juliuscaesar@692, cymbeline@2536, cymbeline@1803, cymbeline@3412, measureforemeasure@2025, antonyandcleopatra@492, antonyandcleopatra@1440, kingjohn@3594, kingjohn@520, tamingoftheshrew@1476, tamingoftheshrew@1124, winterstale@178, winterstale@2703, winterstale@121, romeoandjuliet@293, romeoandjuliet@3281, kinglear@2641, kinglear@4637, kinglear@2525, kinglear@2031, kinglear@2562, loverscomplaint@120, coriolanus@5229, troilusandcressida@1568, troilusandcressida@881, muchadoaboutnothing@1741, 2kinghenryvi@1215, 2kinghenryvi@3136, merchantofvenice@528, merchantofvenice@283, 2kinghenryiv@2214, macbeth@2444, othello@5279, othello@1182, othello@1370, periclesprinceoftyre@3193, periclesprinceoftyre@2144, periclesprinceoftyre@2786, periclesprinceoftyre@1757, sonnets@309, sonnets@1998
windy	sonnets@1538, 3kinghenryvi@1766, hamlet@474, rapeoflucrece@2117, kingjohn@1056, twelfthnight@2686, muchadoaboutnothing@1089, venusandadonis@88
wine	juliuscaesar@1608, juliuscaesar@3152, juliuscaesar@3113, juliuscaesar@3148, juliuscaesar@3146, 1kinghenryiv@1592, timonofathens@1563, timonofathens@2918, timonofathens@1386, timonofathens@1561, timonofathens@1531, timonofathens@572, tempest@1681, tempest@1701, tempest@1257, tempest@1756, tempest@1265, tempest@3299, tempest@2832, kingrichardiii@1484, kingrichardiii@5214, kingrichardiii@1486, kingrichardiii@5227, kingrichardiii@5327, kinghenryv@989, kinghenryv@2001, comedyoferrors@2612, coriolanus@4067, coriolanus@4067, coriolanus@4918, coriolanus@1522, coriolanus@1368, kinghenryviii@967, kinghenryviii@1039, hamlet@5795, 1kinghenryvi@1432, antonyandcleopatra@2368, antonyandcleopatra@3881, antonyandcleopatra@2233, antonyandcleopatra@255, antonyandcleopatra@5101, antonyandcleopatra@2213, antonyandcleopatra@2392, antonyandcleopatra@3467, tamingoftheshrew@2284, kinglear@2954, romeoandjuliet@607, merrywivesofwindsor@1410, merrywivesofwindsor@4329, merrywivesofwindsor@326, merrywivesofwindsor@329, merrywivesofwindsor@2219, muchadoaboutnothing@2499, merchantofvenice@182, merchantofvenice@1864, merchantofvenice@431, periclesprinceoftyre@1310, troilusandcressida@4209, 2kinghenryvi@3735, 2kinghenryvi@1733, twelfthnight@1160, twelfthnight@1323, othello@1716, othello@1625, othello@1992, othello@2027, othello@1687, othello@1678, othello@1671, othello@1457, allswellthatendswell@1450, glossary@341, glossary@147, glossary@282, macbeth@871, macbeth@2122, macbeth@1369, 2kinghenryiv@1638, 2kinghenryiv@3437, 2kinghenryiv@4432, 2kinghenryiv@1781, 2kinghenryiv@4434, 2kinghenryiv@4394, asyoulikeit@4102, asyoulikeit@2041, asyoulikeit@2702, asyoulikeit@4100
wing	juliuscaesar@208, juliuscaesar@3668, 3kinghenryvi@194, kingrichardii@1325, midsummersnightsdream@374, rapeoflucrece@1461, kinghenryv@1480, kinghenryv@2793, timonofathens@1078, sonnets@1334, 1kinghenryiv@2635, 1kinghenryiv@2416, 1kinghenryiv@3760, kingrichardiii@4139, kinglear@4157, hamlet@1804, cymbeline@4597, cymbeline@2385, cymbeline@5466, cymbeline@2377, cymbeline@3895, cymbeline@2877, cymbeline@1233, winterstale@4616, tamingoftheshrew@1579, antonyandcleopatra@3492, antonyandcleopatra@3307, antonyandcleopatra@5088, various@565, merrywivesofwindsor@1585, muchadoaboutnothing@867, macbeth@530, macbeth@2391, macbeth@1873, twelfthnight@1814, troilusandcressida@1915, troilusandcressida@5304, 2kinghenryvi@3866, glossary@1862, othello@872, allswellthatendswell@2170, allswellthatendswell@337
wingdalls	tamingoftheshrew@2119
winged	sonnets@876, 3kinghenryvi@537, romeoandjuliet@1360, comedyoferrors@445, asyoulikeit@2992, rapeoflucrece@2048, kingrichardii@623, kinghenryv@4045, kinghenryv@686, kinglear@3477, 1kinghenryiv@3615, kingrichardiii@5597, kingrichardiii@1809, kingrichardiii@1954, 1kinghenryvi@1692, 1kinghenryvi@3365, periclesprinceoftyre@2250, 2kinghenryvi@2984
wings	2kinghenryvi@3032, 2kinghenryvi@1828, 2kinghenryvi@687, kingrichardiii@5086, kingrichardiii@4176, kingrichardiii@5273, rapeoflucrece@651, rapeoflucrece@1225, rapeoflucrece@1156, rapeoflucrece@73, 3kinghenryvi@4458, 3kinghenryvi@1567, 3kinghenryvi@4451, 3kinghenryvi@4462, 3kinghenryvi@1330, twogentlemenofverona@1619, twogentlemenofverona@1587, allswellthatendswell@2625, allswellthatendswell@1012, venusandadonis@384, venusandadonis@95, romeoandjuliet@2602, romeoandjuliet@1410, romeoandjuliet@902, romeoandjuliet@838, romeoandjuliet@2093, midsummersnightsdream@918, midsummersnightsdream@1383, midsummersnightsdream@1939, titusandronicus@2069, titusandronicus@2902, tempest@2561, tempest@2349, kinghenryv@659, kinghenryv@2861, winterstale@2213, kinghenryviii@973, kinghenryviii@3992, coriolanus@5457, cymbeline@2287, cymbeline@3026, cymbeline@4300, hamlet@1159, hamlet@3677, various@557, loveslabourslost@3294, kingjohn@467, antonyandcleopatra@5618, merchantofvenice@91, merchantofvenice@1846, 2kinghenryiv@3587, 2kinghenryiv@3985, 1kinghenryvi@218, 1kinghenryvi@139, 1kinghenryvi@3731, 1kinghenryvi@2975, troilusandcressida@1531, troilusandcressida@3287, troilusandcressida@2820, troilusandcressida@2434, troilusandcressida@1643
wink	cymbeline@2615, cymbeline@4687, tamingoftheshrew@3365, 2kinghenryvi@1310, rapeoflucrece@1373, rapeoflucrece@500, sonnets@733, sonnets@959, romeoandjuliet@2590, twogentlemenofverona@3230, twogentlemenofverona@1251, twogentlemenofverona@518, timonofathens@1585, venusandadonis@169, venusandadonis@170, comedyoferrors@1269, kinghenryv@4614, kinghenryv@1007, kinghenryv@4621, kinghenryv@749, tempest@1420, tempest@1483, tempest@1376, kingrichardii@3012, titusandronicus@2041, winterstale@4303, winterstale@620, loveslabourslost@596, loveslabourslost@114, macbeth@576, merrywivesofwindsor@1413, merrywivesofwindsor@4172, twelfthnight@3545
winked	winterstale@2151
winking	cymbeline@4692, cymbeline@1520, cymbeline@1909, rapeoflucrece@595, romeoandjuliet@4742, kinghenryv@4619, kinghenryv@2518, hamlet@1809, kingjohn@733, kingjohn@2587, 2kinghenryiv@864
winks	rapeoflucrece@703, venusandadonis@133, othello@4029, hamlet@4247
winner	cymbeline@1853, cymbeline@2798, tamingoftheshrew@4139, kinghenryv@2225
winners	winterstale@4614, 2kinghenryvi@2147
winning	cymbeline@687, romeoandjuliet@2596, tempest@901
winnings	glossary@1641
winnow	troilusandcressida@2634, 2kinghenryiv@3050, kinghenryviii@3922
winnowed	hamlet@5679
winnows	troilusandcressida@800
wins	3kinghenryvi@2079, kinghenryv@1624, allswellthatendswell@2239, kinghenryviii@3156, kinglear@4962, kingjohn@1639, kingjohn@1172, twelfthnight@1786, merchantofvenice@773
winter	merchantofvenice@1889, kinghenryviii@2799, 3kinghenryvi@4584, 3kinghenryvi@1608, 3kinghenryvi@4304, 3kinghenryvi@3795, 3kinghenryvi@4037, 2kinghenryiv@3550, 2kinghenryiv@3622, 2kinghenryiv@895, winterstale@2648, winterstale@1963, winterstale@892, winterstale@2644, winterstale@2638, winterstale@2344, kingrichardiii@2171, kingrichardiii@142, midsummersnightsdream@695, midsummersnightsdream@684, rapeoflucrece@1463, rapeoflucrece@1506, timonofathens@2998, timonofathens@1874, timonofathens@1401, timonofathens@2302, juliuscaesar@379, troilusandcressida@3777, romeoandjuliet@523, twogentlemenofverona@1362, asyoulikeit@2541, asyoulikeit@1353, asyoulikeit@1703, asyoulikeit@1401, asyoulikeit@3992, asyoulikeit@949, asyoulikeit@1144, hamlet@5257, sonnets@1680, sonnets@1664, sonnets@103, sonnets@98, sonnets@91, sonnets@232, sonnets@1651, sonnets@966, titusandronicus@3422, titusandronicus@1605, cymbeline@4120, cymbeline@3762, cymbeline@3706, cymbeline@1771, measureforemeasure@907, kingrichardii@722, kingrichardii@3153, comedyoferrors@2742, comedyoferrors@1341, kinghenryv@1847, 2kinghenryvi@1765, 2kinghenryvi@251, 2kinghenryvi@4766, 2kinghenryvi@2849, kinglear@2160, othello@2563, periclesprinceoftyre@2750, tempest@2902, various@213, various@212, antonyandcleopatra@5502, kingjohn@3590, merrywivesofwindsor@3549, macbeth@2085, tamingoftheshrew@2455, tamingoftheshrew@3114, venusandadonis@965
winterly	cymbeline@2508
winters	winterstale@4481, sonnets@1773, sonnets@35, kingrichardii@726, kingrichardii@787, kingrichardii@2975, measureforemeasure@1954, tempest@642, loveslabourslost@2436
wipe	loveslabourslost@2258, hamlet@5856, hamlet@1236, 3kinghenryvi@957, 3kinghenryvi@1747, 3kinghenryvi@772, 2kinghenryiv@3058, 2kinghenryiv@1911, rapeoflucrece@685, rapeoflucrece@806, timonofathens@3872, twogentlemenofverona@795, coriolanus@4403, titusandronicus@3696, titusandronicus@1717, titusandronicus@1759, winterstale@2272, winterstale@3252, cymbeline@3971, kinglear@4325, othello@2951, antonyandcleopatra@1256, kingjohn@3089
wiped	rapeoflucrece@1458, rapeoflucrece@766, rapeoflucrece@2017, 2kinghenryiv@458, asyoulikeit@1626, asyoulikeit@1633, 1kinghenryiv@1643, coriolanus@5343, 2kinghenryvi@4238, 2kinghenryvi@1840, 2kinghenryvi@3083, 1kinghenryvi@1637
wipes	kinghenryv@2821
wiping	coriolanus@647
wire	antonyandcleopatra@1783
wires	sonnets@2214, sonnets@2214
wiry	sonnets@2180, kingjohn@1920
wis	merchantofvenice@1746, kingrichardiii@906, glossary@2373, periclesprinceoftyre@791, tamingoftheshrew@582
